event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z,assisted,x_distance,y_distance,distance,angle
shot,cb1a1e9e-8303-4234-8a0c-1cf0bf9986ce,3347,2,00:30:11.573,75,11,141,Atlético Madrid,From Throw In,,Atlético Madrid,Álvaro Borja Morata Martín,Right Center Forward,0.528229,True,0.013517389,24f6c799-b59a-42e0-9a4c-b6673236b8b7,foot,Open Play,Off T,Half Volley,True,,,,,,112.6,57.6,119.9,45.0,5.2,1,7.400000000000006,17.6,19.092406867652915,67.19545952867894
shot,230c2d9f-a815-499e-9ac4-47e866922d18,3667,2,00:40:18.114,85,18,158,Barcelona,From Counter,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.767151,True,0.058152147,5a89e8ef-af40-4d39-8407-5a5fabaf40bf,foot,Open Play,Goal,Normal,True,,,,,,100.9,36.8,120.0,36.7,0.3,1,19.099999999999994,3.200000000000003,19.366207682455535,9.510960379290623
shot,1f887bb9-d0fd-4665-a623-280266a59788,3822,2,00:46:58.133,91,58,168,Atlético Madrid,From Throw In,,Atlético Madrid,Jorge Resurrección Merodio,Left Midfield,0.481175,True,0.02428378,,foot,Open Play,Blocked,Half Volley,True,,,,,,100.4,26.6,110.0,33.0,,0,19.599999999999994,13.399999999999999,23.742788378789882,34.359380297589425
shot,75925907-8731-46ef-974c-53f9f24c9eba,3828,2,00:46:59.559,91,59,168,Atlético Madrid,From Throw In,,Atlético Madrid,Saúl Ñíguez Esclapez,Left Back,0.23953,,0.053015683,,foot,Open Play,Blocked,Normal,,,,,,,105.5,34.6,107.4,35.6,,0,14.5,5.399999999999999,15.47287949930458,20.426024763089007
shot,d8228044-ab03-4c87-9be0-a162e90c60d6,205,1,00:03:12.588,3,12,8,Barcelona,From Corner,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.477216,,0.01790047,2d69ff14-72a5-4f1f-b2c9-490ecfe8cbcd,foot,Open Play,Blocked,Normal,,,,,,,102.8,59.3,110.4,48.4,,1,17.200000000000003,19.299999999999997,25.852079220055007,48.292839400364876
shot,c60a0fdb-91f7-45a0-bce4-989e5134f0ea,321,1,00:06:07.827,6,7,13,Mallorca,From Corner,,Mallorca,Daniel José Rodríguez Vázquez,Left Midfield,1.603977,,0.28028348,faa7e868-f810-4108-8771-ef43dcf819d4,foot,Open Play,Off T,Volley,True,,,,,,115.7,41.8,120.0,30.9,0.2,1,4.299999999999997,1.7999999999999972,4.661544808322662,22.71441235316722
shot,0421724e-5597-4493-8086-785a78dadeaa,327,1,00:06:23.434,6,23,14,Barcelona,From Goal Kick,,Barcelona,Antoine Griezmann,Left Wing,1.070684,,0.3502728,4986a729-8b41-482b-9d8e-0d779c81cfe4,foot,Open Play,Goal,Lob,,,,True,,,111.3,31.3,120.0,38.7,0.5,1,8.700000000000003,8.7,12.30365799264593,44.999999999999986
shot,72e3cedf-1926-4534-9ed0-898f6af5ca3e,634,1,00:13:02.407,13,2,22,Barcelona,Regular Play,,Barcelona,Ivan Rakitić,Right Center Midfield,0.266942,,0.08077322,,foot,Open Play,Saved,Normal,True,,,,,,116.5,49.1,118.3,45.7,0.0,0,3.5,9.100000000000001,9.749871794028886,68.96248897457819
shot,28ada4eb-44ad-41ae-acac-22a92eba7934,709,1,00:14:54.357,14,54,25,Barcelona,From Corner,,Barcelona,Sergio Busquets i Burgos,Center Defensive Midfield,0.66288,True,0.05154453,e0645f3d-8bd2-4179-a1f5-496e4fdc8f68,head,Open Play,Saved,Normal,,,,,,,112.5,32.3,119.2,40.4,2.0,1,7.5,7.700000000000003,10.748953437428225,45.75384833307078
shot,447c44db-457b-470f-9b57-ebbfc543e91b,773,1,00:16:29.697,16,29,28,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,1.039425,,0.029638704,6b973725-794b-41bc-87b5-afada15c75bc,foot,Open Play,Goal,Normal,,,,,,,95.5,48.4,120.0,37.5,2.0,1,24.5,8.399999999999999,25.9,18.924644416051233
shot,ed33e5da-37ef-4a0d-9c49-9c8896e9cae1,879,1,00:18:45.473,18,45,33,Mallorca,Regular Play,,Mallorca,Daniel José Rodríguez Vázquez,Left Midfield,1.185283,,0.039451167,,foot,Open Play,Off T,Normal,,,,,,,96.9,42.7,120.0,44.4,3.7,0,23.099999999999994,2.700000000000003,23.25725693197716,6.666659890901374
shot,3ecffe72-ca59-4e31-8a1c-7bab80d00211,1025,1,00:21:39.114,21,39,37,Barcelona,From Corner,,Barcelona,Gerard Piqué Bernabéu,Right Center Back,0.949063,True,0.05609287,86212bb7-1038-43eb-8c73-461a5296cffd,head,Open Play,Saved,Normal,,,,,,,111.5,38.9,118.6,41.0,0.8,1,8.5,1.1000000000000014,8.570880934886448,7.373766361330226
shot,0a648ddd-3ea8-496d-abc3-c27726ff0e66,1288,1,00:27:11.693,27,11,53,Barcelona,From Free Kick,,Barcelona,Luis Alberto Suárez Díaz,Center Forward,0.396971,True,0.13925849,8fdedaf5-cfc1-4e25-a672-b42645945ca8,foot,Open Play,Post,Normal,,,,,,,112.4,48.7,120.0,44.1,1.0,1,7.599999999999994,8.700000000000003,11.552056094046634,48.860732624883305
shot,1e2b9b9e-e47b-4048-99a7-cd977a38653c,1382,1,00:29:02.729,29,2,56,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.122206,,0.06654694,5f79f0ce-d91c-4a1f-b958-3eb48de15de3,foot,Open Play,Saved,Normal,,,,True,,,117.9,31.1,118.2,32.7,0.1,1,2.0999999999999943,8.899999999999999,9.144397191723463,76.72360295768407
shot,66356669-cb78-4448-b350-2159b26f8eeb,1469,1,00:31:17.754,31,17,59,Barcelona,Regular Play,,Barcelona,Luis Alberto Suárez Díaz,Center Forward,0.930258,True,0.7566606,533e2425-ab6e-4fc3-9fdd-d0bad7ece1ea,foot,Open Play,Off T,Normal,,,,True,,,111.8,47.9,120.0,46.8,0.0,1,8.200000000000003,7.899999999999999,11.386395390991831,43.932500316259784
shot,4257082c-644e-41e9-975c-a03bb85d5907,1622,1,00:34:10.895,34,10,64,Barcelona,Regular Play,,Barcelona,Luis Alberto Suárez Díaz,Center Forward,0.118281,,0.020287622,c11fbeb3-c7da-424b-9941-aa8b2dc8c695,foot,Open Play,Blocked,Normal,,,,,,,113.8,24.8,114.6,27.2,,1,6.200000000000003,15.2,16.415846003176323,67.80971110387745
shot,145ae225-62b8-409e-8820-ac0e9e5e37be,1664,1,00:34:56.326,34,56,65,Mallorca,Regular Play,,Mallorca,Ante Budimir,Left Center Forward,0.134876,True,0.09837892,bf241a48-a6f6-4284-902d-b59742ef6126,foot,Open Play,Goal,Normal,,,,,,True,105.8,32.5,120.0,43.6,2.0,1,14.200000000000003,7.5,16.058953888718907,27.841626069957808
shot,819cb3c7-bba6-4244-84db-8b35b356eb52,1804,1,00:40:07.847,40,7,73,Barcelona,From Throw In,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.860719,,0.059007846,b7fba4c6-1b4b-45a4-9bde-1ebd5bade319,foot,Open Play,Goal,Normal,,,,,,,99.1,40.4,120.0,37.3,0.9,1,20.900000000000006,0.3999999999999986,20.90382740074172,1.096436083993024
shot,c2ba5203-3604-49ea-b216-77d674ac7798,1891,1,00:42:22.154,42,22,75,Barcelona,Regular Play,,Barcelona,Luis Alberto Suárez Díaz,Center Forward,1.104064,,0.10926418,c46fd028-0172-4833-ba29-934cc1f52f75,foot,Open Play,Goal,Backheel,True,,,,,,111.6,48.5,120.0,38.7,0.5,1,8.400000000000006,8.5,11.950313803411193,45.33902432445143
shot,c9758be5-bbe1-4f47-b3d0-c7be7ff16014,2181,2,00:02:54.969,47,54,87,Barcelona,Regular Play,,Barcelona,Ivan Rakitić,Right Center Midfield,1.397176,,0.02488375,dc92e25c-c8ad-4f6d-8a85-9f552d4d44c2,foot,Open Play,Off T,Normal,,,,,,,98.0,56.1,120.0,34.7,0.5,1,22.0,16.1,27.26187814513153,36.19734418494473
shot,753c4bbb-b468-4ea7-888b-170bcf3bb32e,2399,2,00:06:43.081,51,43,95,Barcelona,Regular Play,,Barcelona,Antoine Griezmann,Left Wing,0.433119,,0.3652051,9e7d4e26-c715-499d-8df0-0aadebdb5c06,foot,Open Play,Saved,Normal,,,,,,,107.9,31.2,114.1,36.9,0.2,1,12.099999999999994,8.8,14.961617559608984,36.02737338510362
shot,99a204cd-68aa-4b31-ae37-30f0321ac753,2654,2,00:11:25.247,56,25,103,Barcelona,Regular Play,,Barcelona,Luis Alberto Suárez Díaz,Center Forward,0.519094,,0.29502597,16e8a5da-64e3-4ff5-928e-13df5ae4f273,foot,Open Play,Saved,Normal,True,,,,,,109.0,49.4,117.1,42.8,0.2,1,11.0,9.399999999999999,14.469277798148736,40.51539399045537
shot,1b1a66f9-b392-4553-b239-ca140014b167,2710,2,00:12:25.298,57,25,115,Barcelona,From Counter,,Barcelona,Luis Alberto Suárez Díaz,Center Forward,0.844869,,0.08258309,31cdee4d-dac2-4c88-a490-07a39750aaf0,foot,Open Play,Saved,Normal,,,,,,,102.7,47.6,117.4,42.1,0.0,1,17.299999999999997,7.600000000000001,18.895766721676047,23.716189451367136
shot,63e6e20e-31ab-49ad-a624-e87bed1a3a82,2848,2,00:16:43.234,61,43,124,Mallorca,From Corner,,Mallorca,Takefusa Kubo,Right Midfield,1.173266,,0.024926124,6dcd0d27-e07f-4efd-88a4-e65c8ffeb0c6,foot,Open Play,Off T,Normal,,,,,,,107.8,20.9,120.0,42.3,4.1,1,12.200000000000003,19.1,22.663847863944024,57.43186062821506
shot,6214e231-4d6d-4965-aa20-43e7b9c1f669,2913,2,00:17:42.515,62,42,125,Barcelona,From Goal Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,1.512174,,0.047309734,4dd1eecc-16cc-4714-947f-447d88fd7050,foot,Open Play,Off T,Normal,True,,,,,,96.9,48.1,120.0,38.0,5.5,1,23.099999999999994,8.100000000000001,24.478970566590412,19.323184318161793
shot,34d2dde4-6f21-4d1b-9ec3-89b4e9342c0a,2946,2,00:18:46.834,63,46,126,Mallorca,From Goal Kick,,Mallorca,Ante Budimir,Right Center Forward,0.477644,,0.54094094,92719d0c-feef-4c5f-bcb6-f6c305c853a8,head,Open Play,Goal,Normal,,,,,True,,115.9,37.0,120.0,40.3,0.7,1,4.099999999999994,3.0,5.08035431835221,36.19320730556473
shot,e8de1e0d-7dbc-466a-9c57-74837627ea54,3137,2,00:25:36.665,70,36,136,Mallorca,From Corner,,Mallorca,Daniel José Rodríguez Vázquez,Right Center Midfield,0.690435,,0.061897583,,foot,Open Play,Off T,Overhead Kick,True,,,,,,115.1,50.6,120.0,48.4,0.6,0,4.900000000000006,10.600000000000001,11.677756633874509,65.19059162454043
